Kegg-id	Pubchem-id	Chembl-id	CAS-number
cpd:C00109	3409	CHEMBL171246	600-18-0
cpd:C00110	3410		
cpd:C00111	3411	CHEMBL1161998	57-04-5
cpd:C00112	3412	CHEMBL425252	63-38-7
cpd:C00113	3413	CHEMBL1235421	72909-34-3
cpd:C00114	3414	CHEMBL920	62-49-7
cpd:C00116	3416	CHEMBL692	56-81-5
cpd:C00117	3417	CHEMBL1235722 CHEMBL605020	4300-28-1
cpd:C00118	3418	CHEMBL1232918	591-57-1
cpd:C00119	3419	CHEMBL606077	
cpd:C00120	3420	CHEMBL857	58-85-5
cpd:C00121	3421	CHEMBL444125 CHEMBL606078	50-69-1
cpd:C00122	3422	CHEMBL503160	110-17-8
cpd:C00123	3423	CHEMBL291962	61-90-5
cpd:C00124	3424	CHEMBL1233058 CHEMBL195923 CHEMBL300520	59-23-4 10257-28-0
cpd:C00125	3425		
cpd:C00126	3426		
cpd:C00127	3427	CHEMBL1372	27025-41-8
cpd:C00128	3428	CHEMBL1234647	3063-71-6
cpd:C00129	3429	CHEMBL356362	358-71-4
cpd:C00130	3430	CHEMBL1207374	131-99-7
cpd:C00131	3431	CHEMBL335538	1927-31-7
cpd:C00132	3432	CHEMBL14688	67-56-1
cpd:C00133	3433	CHEMBL66693	338-69-2
cpd:C00134	3434	CHEMBL46257	110-60-1
cpd:C00135	3435	CHEMBL17962	71-00-1
cpd:C00136	3436	CHEMBL1949894	
cpd:C00137	3437	CHEMBL1222251	87-89-8
cpd:C00138	3438		
cpd:C00139	3439		
cpd:C00140	3440	CHEMBL1234669 CHEMBL240524 CHEMBL447878	7512-17-6
cpd:C00141	3441	CHEMBL146554	759-05-7
cpd:C00143	3443	CHEMBL1234270 CHEMBL3274193	3432-99-3
cpd:C00144	3444	CHEMBL283807	85-32-5
cpd:C00145	3445		
cpd:C00146	3446	CHEMBL14060	108-95-2
cpd:C00147	3447	CHEMBL226345	73-24-5
cpd:C00148	3448	CHEMBL54922	147-85-3
cpd:C00149	3449		97-67-6
cpd:C00150	3450		7439-98-7
cpd:C00151	3451		
cpd:C00152	3452	CHEMBL58832	70-47-3
cpd:C00153	3453	CHEMBL1140	98-92-0
cpd:C00154	3454	CHEMBL3904487	1763-10-6
cpd:C00155	3455	CHEMBL469662	6027-13-0
cpd:C00156	3456	CHEMBL441343	99-96-7
cpd:C00157	3457		8002-43-5
cpd:C00158	3458	CHEMBL1261	77-92-9
cpd:C00159	3459	CHEMBL365590 CHEMBL469448 CHEMBL98182	3458-28-4 31103-86-3
cpd:C00160	3460	CHEMBL252557	79-14-1
cpd:C00161	3461		
cpd:C00162	3462		
cpd:C00163	3463	CHEMBL14021	79-09-4
cpd:C00164	3464	CHEMBL1230762	541-50-4
cpd:C00165	3465		
cpd:C00166	3466	CHEMBL1162488	156-06-9
cpd:C00167	3467	CHEMBL228057	
cpd:C00168	3468		1113-60-6
