	KEGG	CAS	PUBCHEM	CHEBI	CHEMBL	SMILES
12643	cpd:C13569	7059-24-7	853932.0	34638	CHEMBL2303619 CHEMBL409466	COC1=CC=C(C=C1)[C@@H](CC(=O)C2=CC=CC=C2)[C@H]3CCCCC3=O
12644	cpd:C19302	62-55-5	124489974.0	32497	CHEMBL38737	COC1=CC=C(C=C1)[C@@](CC#N)(C2=CC=CC=C2)O
12645	cpd:C19303	139-65-1	124489975.0	82374	CHEMBL348856	COC1=CC=C(C=C1)[C@](CC#N)(C2=CC=CC=C2)O
12646	cpd:C04944		7485.0	17182		COC1=CC=C(C=C1)[N+](=O)[O-]
12647	cpd:C03373	25635-88-5	6208.0	28843	CHEMBL1230914	COC1=CC=C(O1)C=O
12648	cpd:C15446		17396443.0	79944		COC1=CC=CC(=C1)C(=O)N2CCN(CC2)CC3=CC=C(C=C3)C#N
12649	cpd:C09270	53023-18-0	11461.0	6056		COC1=CC=CC(=C1)C(=O)O
12650	cpd:C09378	19908-69-1	11569.0	3856	CHEMBL1911140	COC1=CC=CC(=C1)C=O
12651	cpd:C15247		17396244.0	79749		COC1=CC=CC(=C1)CC(=O)NC(C2=CC=CC=C2)C3=CC=CS3
12652	cpd:C15373		17396370.0	79875		COC1=CC=CC(=C1)CC(=O)NC2=CC=CC=C2OC(F)(F)F
12653	cpd:C14341	6052-84-2	17395341.0	34366	CHEMBL577241	COC1=CC=CC(=C1)CC(=O)NCCC2=NC3=CC=CC=C3N2
12654	cpd:C15682		47205008.0	63285		COC1=CC=CC(=C1)CCC(=O)NCC2=CC=NN2
12655	cpd:C14310	1918-02-1	17395310.0	34922	CHEMBL461349	COC1=CC=CC(=C1)CNC(=O)N2CCN(CC2)C(=O)C3=CC=CC=C3
12656	cpd:C15622	265129-71-3	17396612.0	70778	CHEMBL21241	COC1=CC=CC(=C1)CNC(=O)NCC2=CC=CO2
12657	cpd:C08631	18211-63-7	10824.0	6783		COC1=CC=CC(=C1)N
12658	cpd:C15195	154447-36-6	17396192.0	65329	CHEMBL98350	COC1=CC=CC(=C1)N2CCN(CC2)C(=O)C3=CC=CC=C3O
12659	cpd:C14744	1861-32-1	17395742.0	34664	CHEMBL1888079	COC1=CC=CC(=C1)NC(=O)C2=CN=CN2C3=CC=C(C=C3)F
12660	cpd:C15357	567-72-6	17396354.0	79859		COC1=CC=CC(=C1)NC(=O)COC(=O)C2=CC3=C(C=C2)NC(=O)CC3
12661	cpd:C05122	81-24-3	7544.0	28865	CHEMBL2220197 CHEMBL224867	COC1=CC=CC(=C1)NC2=CC=CC=C2
12662	cpd:C14956		17395954.0	79480		COC1=CC=CC(=C1)NC2=NC(=CS2)C3=C(C=C(C=C3)O)O
12663	cpd:C06787	133806-62-9	9007.0	4472		COC1=CC=CC(=C1)O
12664	cpd:C08948	88256-04-6	11140.0	10439		COC1=CC=CC(=C1)[N+](=O)[O-]
12665	cpd:C01555	37321-09-8	4713.0	2790	CHEMBL1230961 CHEMBL1909452	COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
12666	cpd:C15211		17396208.0	79724	CHEMBL2403361	COC1=CC=CC(=C1O)C(=O)OCC(=O)NC2=CC=C(C=C2)SC
12667	cpd:C15253		17396250.0	79755		COC1=CC=CC(=C1O)C2NC3=CC=CC=C3C(=O)N2CC4CCCO4
12668	cpd:C06771	102-71-6	8991.0	28621	CHEMBL446061	COC1=CC=CC(=C1O)C=O
12669	cpd:C15450		17396447.0	79948		COC1=CC=CC(=C1OC)C(=O)N2CCN(CC2)CC3=CC=C(C=C3)C#N
12670	cpd:C16608	62498-67-3	51090934.0	80603	CHEMBL1649	COC1=CC=CC(=C1OC)C(=O)NCC2CCN(C2)CC(F)(F)F
12671	cpd:C14936		17395934.0	79461		COC1=CC=CC(=C1OC)C2=NC(=CS2)C3=CC4=C(C=C3)OCC(=O)N4
12672	cpd:C03994		6707.0	16131		COC1=CC=CC2=C1C(=O)C3=CC=CC=C3C2=O
12673	cpd:C09166	69749-00-4	11358.0	8265		COC1=CC=CC=C1Br
12674	cpd:C15370		17396367.0	79872		COC1=CC=CC=C1C(=O)NC2=CC=CC=C2OC(F)(F)F
12675	cpd:C16611		51090937.0	80606		COC1=CC=CC=C1C(=O)NCC2CCN(C2)CC(F)(F)F
12676	cpd:C09178	57444-60-7	11370.0	8810	CHEMBL521374	COC1=CC=CC=C1C(=O)O
12677	cpd:C13722	149091-93-0	586311.0	34525		COC1=CC=CC=C1C(C(=O)OC)O
12678	cpd:C04150		6835.0	16402		COC1=CC=CC=C1C2=CC=CC=C2
12679	cpd:C12649	5949-29-1	583039.0	31404	CHEMBL2107737	COC1=CC=CC=C1C2=COC3=CC=CC=C3C2=O
12680	cpd:C14571	61432-55-1	17395571.0	34713		COC1=CC=CC=C1C2=NOC(=C2)CSC3=NNC(=N3)C4=CC=CC=C4
12681	cpd:C06423	124-07-2	8658.0	28837	CHEMBL324846	COC1=CC=CC=C1C=O
12682	cpd:C15376		17396373.0	79878	CHEMBL3544564 CHEMBL40294	COC1=CC=CC=C1CC(=O)NC2=CC=CC=C2OC(F)(F)F
12683	cpd:C15617	50892-23-4	17396608.0	32509	CHEMBL295416	COC1=CC=CC=C1CC(=O)NCCC2=NC3=CC=CC=C3N2
12684	cpd:C04522		7134.0	17337		COC1=CC=CC=C1CC(=O)O
12685	cpd:C15367		17396364.0	79869		COC1=CC=CC=C1CCC(=O)NC2CCSC3=C2C=CC=C3F
12686	cpd:C14266	101-92-8	17395266.0	35090		COC1=CC=CC=C1CCNC(=O)C2=CC=CS2
12687	cpd:C14968		17395966.0	79492		COC1=CC=CC=C1CN2C(=O)C(=O)N(C2=O)C34CC5CC(C3)CC(C5)C4
12688	cpd:C18434	103055-07-8	124489108.0	39384	CHEMBL1364906	COC1=CC=CC=C1CNC(=O)C(=O)NC[C@@H](CC2=CC=CC=C2)O
12689	cpd:C18445	76-06-2	124489119.0	39285	CHEMBL1327143	COC1=CC=CC=C1CNC(=O)C(=O)NC[C@@](C2CC2)(C3=CC=CC=C3)O
12690	cpd:C18435	1982-49-6	124489109.0	81744	CHEMBL1902120	COC1=CC=CC=C1CNC(=O)C(=O)NC[C@H](CC2=CC=CC=C2)O
12691	cpd:C18444	93697-74-6	124489118.0	81752	CHEMBL2313155	COC1=CC=CC=C1CNC(=O)C(=O)NC[C@](C2CC2)(C3=CC=CC=C3)O
12692	cpd:C10828	5876-23-3	13011.0	9947	CHEMBL2023796	COC1=CC=CC=C1Cl
12693	cpd:C04351		7000.0	16825		COC1=CC=CC=C1N
12694	cpd:C18551	41205-21-4	124489225.0	81826	CHEMBL1989810	COC1=CC=CC=C1N2CCN(CC2)C(=O)C3=CC4=C(C=C3)N=CC=C4
12695	cpd:C01192		4418.0	17868		COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O
12696	cpd:C11151	62-38-4	13333.0	27684		COC1=CC=CC=C1N2CCN(CC2)CCCC(C3=CC=C(C=C3)F)O
12697	cpd:C01209		4431.0	17330		COC1=CC=CC=C1N2CCN(CC2)CCCCN3C(=O)C4=CC=CC=C4C3=O
12698	cpd:C01488	639-97-4	4658.0	16689 27672		COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4=CC=C(C=C4)I
12699	cpd:C02722		5684.0	15860		COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4CCCCC4
12700	cpd:C09759	61463-03-4	11947.0	6068		COC1=CC=CC=C1N=NC2=CC=CC=C2OC
12701	cpd:C14428	28249-77-6	17395428.0	35011	CHEMBL388559	COC1=CC=CC=C1NC(=O)C2=CC=C(C=C2)N3C=CC=C3
12702	cpd:C04452		7079.0	355715	CHEMBL157265	COC1=CC=CC=C1NC(=O)CC(=O)C2=CC=CC=C2
12703	cpd:C15444	53649-13-1	17396441.0	79942		COC1=CC=CC=C1NC(=O)CCCC2=CC=CS2
12704	cpd:C13050	119340-53-3	583439.0	31445	CHEMBL2369151	COC1=CC=CC=C1NC(=O)CSCC2=NC3=CC=CC=C3N2
12705	cpd:C04512		7126.0	17157		COC1=CC=CC=C1NCS(=O)(=O)O
12706	cpd:C08912	84633-34-1	11104.0	9039		COC1=CC=CC=C1OC(=O)OC2=CC=CC=C2OC
12707	cpd:C15755	27656-56-0	47205081.0	80083		COC1=CC=CC=C1OCC(=O)NCC2=CC=NN2
12708	cpd:C00216	10323-20-3	3516.0	17108 46994	CHEMBL1222249	COC1=CC=CC=C1OCC(CO)O
12709	cpd:C00850		4107.0			COC1=CC=CC=C1OCC(COC(=O)N)O
12710	cpd:C18820	1085-98-9	124489494.0	74875	CHEMBL1269177	COC1=CC=CC=C1OC[C@@H](CN2C[C@H]3C[C@@H](C2)C4=CC=CC(=O)N4C3)O
12711	cpd:C18821	145701-21-9	124489495.0	81984	CHEMBL1873575	COC1=CC=CC=C1OC[C@H](CN2C[C@H]3C[C@@H](C2)C4=CC=CC(=O)N4C3)O
12712	cpd:C04416		7048.0	17938		COC1=CC=CC=C1[N+](=O)[O-]
12713	cpd:C14971		17395969.0	79495		COC1=CN(N=C1C(=O)N2CCN(CC2)CC3=CC=CC4=CC=CC=C43)C5=CC=CC=C5
12714	cpd:C02265	673-06-3	5326.0	16998	CHEMBL379630	COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
12715	cpd:C19497	198-55-0	124490169.0	29861		COC1=C[C@H]2C=C[C@@H](C=C1)NC2=O
12716	cpd:C02261	2623-91-8	5323.0	28797	CHEMBL553426	COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC
12717	cpd:C11240	101363-10-4	13419.0	8909	CHEMBL295619	COC1=NC(=NC(=N1)OC)OC
12718	cpd:C11938	515-00-4	14099.0	25460	CHEMBL443408	COC1=NC(=NC(=O)N1)OC
12719	cpd:C02080	606-39-3	5166.0	16445		COC1=NC=CC(=N1)C2=C(N=CN2C3CCC(CC3)O)C4=CC=C(C=C4)F
12720	cpd:C02272	352-93-2	5332.0	27710	CHEMBL117181	COC1=NC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N
12721	cpd:C12141	68795-37-9	14288.0	74793	CHEMBL1784263	COC1=NC=NC(=N1)N
12722	cpd:C11542		13709.0	3794		COC1=NN(C(=O)S1)CSP(=S)(OC)OC
12723	cpd:C02270		5330.0	16539		COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N
12724	cpd:C12451		582841.0	31636		COC1=NON=C1NC(=O)C(C(F)(F)F)(OC)F
12725	cpd:C12476		582866.0	31467		COC1C(C(C(C(O1)CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)N
12726	cpd:C01949	107-87-9	5052.0	16472	CHEMBL45345	COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
