Pubchem-id	Isomeric-SMILES	Canonical-SMILES	InChI
12033	C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])O	C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])O	InChI=1S/C7H5NO5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H,(H,10,11)
127	C1=CC(=CC=C1CC(=O)O)O	C1=CC(=CC=C1CC(=O)O)O	InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)
75182	C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)O	C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)O	InChI=1S/C13H10O3/c14-13(15)10-6-8-12(9-7-10)16-11-4-2-1-3-5-11/h1-9H,(H,14,15)
116545	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl	InChI=1S/C14H11Cl2NO3/c15-10-6-9(18)7-11(16)14(10)17-12-4-2-1-3-8(12)5-13(19)20/h1-4,6-7,17-18H,5H2,(H,19,20)
3052567	C1=CC(=C(C=C1O)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl	C1=CC(=C(C=C1O)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl	InChI=1S/C14H11Cl2NO4/c15-10-5-9(19)6-11(16)14(10)17-12-2-1-8(18)3-7(12)4-13(20)21/h1-3,5-6,17-19H,4H2,(H,20,21)
8408	C1=CC2=C(C=CC(=C2)S(=O)(=O)O)C(=C1)N	C1=CC2=C(C=CC(=C2)S(=O)(=O)O)C(=C1)N	InChI=1S/C10H9NO3S/c11-10-3-1-2-7-6-8(15(12,13)14)4-5-9(7)10/h1-6H,11H2,(H,12,13,14)
4075	C1=CC(=C(C=C1N)C(=O)O)O	C1=CC(=C(C=C1N)C(=O)O)O	InChI=1S/C7H7NO3/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,9H,8H2,(H,10,11)
6035	C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)CO)O	C1C(C(OC1N2C=C(C(=O)NC2=O)Br)CO)O	InChI=1S/C9H11BrN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1
72863	C1=CC(=C(C=C1Br)C=O)O	C1=CC(=C(C=C1Br)C=O)O	InChI=1S/C7H5BrO2/c8-6-1-2-7(10)5(3-6)4-9/h1-4,10H
5802	C1=C(C(=O)NC(=O)N1)Br	C1=C(C(=O)NC(=O)N1)Br	InChI=1S/C4H3BrN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)
9447	C1=CC(=C(C=C1Cl)C(=O)O)O	C1=CC(=C(C=C1Cl)C(=O)O)O	InChI=1S/C7H5ClO3/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,9H,(H,10,11)
69226	C1=CC(=C(C=C1C=O)C(=O)O)O	C1=CC(=C(C=C1C=O)C(=O)O)O	InChI=1S/C8H6O4/c9-4-5-1-2-7(10)6(3-5)8(11)12/h1-4,10H,(H,11,12)
3806	C1=CC2=C(C(=O)C=CC2=O)C(=C1)O	C1=CC2=C(C(=O)C=CC2=O)C(=C1)O	InChI=1S/C10H6O3/c11-7-4-5-9(13)10-6(7)2-1-3-8(10)12/h1-5,12H
3052566	C1=CC(=C(C(=C1)Cl)NC2=C(C=C(C=C2)O)CC(=O)O)Cl	C1=CC(=C(C(=C1)Cl)NC2=C(C=C(C=C2)O)CC(=O)O)Cl	InChI=1S/C14H11Cl2NO3/c15-10-2-1-3-11(16)14(10)17-12-5-4-9(18)6-8(12)7-13(19)20/h1-6,17-18H,7H2,(H,19,20)
10141	C1=CC(=C2C(=O)C=CC(=O)C2=C1O)O	C1=CC(=C2C(=O)C=CC(=O)C2=C1O)O	InChI=1S/C10H6O4/c11-5-1-2-6(12)10-8(14)4-3-7(13)9(5)10/h1-4,11-12H
319979	C1=CN=CC(=C1N)C(=O)O	C1=CN=CC(=C1N)C(=O)O	InChI=1S/C6H6N2O2/c7-5-1-2-8-3-4(5)6(9)10/h1-3H,(H2,7,8)(H,9,10)
54686348	C1=CC2=C(C=C1Cl)C(=CC(=O)O2)O	C1=CC2=C(C=C1Cl)C(=CC(=O)O2)O	InChI=1S/C9H5ClO3/c10-5-1-2-8-6(3-5)7(11)4-9(12)13-8/h1-4,11H
5359277	C1=NC2=C(N1)C(=NC=N2)Cl	C1=NC2=C(N1)C(=NC=N2)Cl	InChI=1S/C5H3ClN4/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H,7,8,9,10)
5281894	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O	InChI=1S/C15H10O3/c16-11-6-7-12-13(17)9-14(18-15(12)8-11)10-4-2-1-3-5-10/h1-9,16H
8386	C1=CC2=C(C=C(C=C2)S(=O)(=O)O)C(=C1)N	C1=CC2=C(C=C(C=C2)S(=O)(=O)O)C(=C1)N	InChI=1S/C10H9NO3S/c11-10-3-1-2-7-4-5-8(6-9(7)10)15(12,13)14/h1-6H,11H2,(H,12,13,14)
74079	C1=CC2=C(C(=C1)O)N=C(C=C2)C(=O)O	C1=CC2=C(C(=C1)O)N=C(C=C2)C(=O)O	InChI=1S/C10H7NO3/c12-8-3-1-2-6-4-5-7(10(13)14)11-9(6)8/h1-5,12H,(H,13,14)
2723649	C1=CC2=C(C=CC(=C2N=C1)O)S(=O)(=O)O.O	C1=CC2=C(C=CC(=C2N=C1)O)S(=O)(=O)O.O	InChI=1S/C9H7NO4S.H2O/c11-7-3-4-8(15(12,13)14)6-2-1-5-10-9(6)7;/h1-5,11H,(H,12,13,14);1H2
69504	C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C=O	C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C=O	InChI=1S/C15H10O/c16-10-15-13-7-3-1-5-11(13)9-12-6-2-4-8-14(12)15/h1-10H
2015	C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2	C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2	InChI=1S/C13H9NO/c15-13-9-5-1-3-7-11(9)14-12-8-4-2-6-10(12)13/h1-8H,(H,14,15)
135398513	C1=NC2=C(N1COCCO)N=C(NC2=O)N	C1=NC2=C(N1COCCO)N=C(NC2=O)N	InChI=1S/C8H11N5O3/c9-8-11-6-5(7(15)12-8)10-3-13(6)4-16-2-1-14/h3,14H,1-2,4H2,(H3,9,11,12,15)
190	C1=NC2=NC=NC(=C2N1)N	C1=NC2=NC=NC(=C2N1)N	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
60961	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1
5781	C1(=O)C(=O)NC(=O)NC1=O	C1(=O)C(=O)NC(=O)NC1=O	InChI=1S/C4H2N2O4/c7-1-2(8)5-4(10)6-3(1)9/h(H2,5,6,8,9,10)
5282108	CC1=CCCC(C1/C=C/C(=O)C)(C)C	CC1=CCCC(C1C=CC(=O)C)(C)C	InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h6-8,12H,5,9H2,1-4H3/b8-7+
3698	C1=CN=CC=C1C2=CNC(=O)C(=C2)N	C1=CN=CC=C1C2=CNC(=O)C(=C2)N	InChI=1S/C10H9N3O/c11-9-5-8(6-13-10(9)14)7-1-3-12-4-2-7/h1-6H,11H2,(H,13,14)
6776	C1=CC2=C(C=C1O)C(=O)C3=C(C2=O)C=C(C=C3)O	C1=CC2=C(C=C1O)C(=O)C3=C(C2=O)C=C(C=C3)O	InChI=1S/C14H8O4/c15-7-1-3-9-11(5-7)14(18)10-4-2-8(16)6-12(10)13(9)17/h1-6,15-16H
227	C1=CC=C(C(=C1)C(=O)O)N	C1=CC=C(C(=C1)C(=O)O)N	InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)
